dateRep,Outflow HHP1,Inflow  HPP1,Inflow HPP2,Production HPP1,Production HPP2
2006/01/01,158.87155322267287,257.0,55.0,2870.0,4350.0
2006/01/02,168.01416144057697,253.0,59.0,1960.0,4000.0
2006/01/03,113.97097279628683,327.0,67.0,1886.0,3740.0
2006/01/04,108.87795296245295,309.0,84.0,1280.0,3240.0
2006/01/05,73.08660464134628,262.0,79.0,2400.0,5020.0
2006/01/06,135.69053343967414,248.0,84.0,2570.0,3440.0
2006/01/07,145.51706462474957,230.0,76.0,2450.0,4430.0
2006/01/08,138.3687397283832,186.0,65.0,2290.0,4160.0
2006/01/09,128.5916763558813,238.0,62.0,2290.0,4000.0
2006/01/10,128.06411185173383,227.0,57.0,2150.0,3640.0
2006/01/11,119.74457291982816,231.0,54.0,2320.0,2950.0
2006/01/12,129.416906544757,215.0,59.0,2670.0,4010.0
2006/01/13,148.70605102136807,235.0,67.0,2432.0,3940.0
2006/01/14,135.25516563236033,195.0,64.0,2295.0,3390.0
2006/01/15,127.50222664936811,185.0,62.0,1720.0,3380.0
2006/01/16,95.10951562362325,258.0,67.0,1520.0,2900.0
2006/01/17,83.87592145484743,290.0,74.0,1034.0,3000.0
2006/01/18,56.56053134436202,331.0,86.0,0.0,2220.0
2006/01/19,0.0,338.0,98.0,600.0,2590.0
2006/01/20,32.16646601828921,303.0,104.0,300.0,2450.0
2006/01/21,15.931872445176872,318.0,115.0,200.0,2650.0
2006/01/22,10.52663223209179,320.0,121.0,0.0,2600.0
2006/01/23,0.0,249.0,122.0,0.0,3040.0
2006/01/24,0.0,250.0,118.0,0.0,3360.0
2006/01/25,0.0,335.0,115.0,0.0,2870.0
2006/01/26,0.0,266.0,118.0,0.0,3420.0
2006/01/27,0.0,237.0,102.0,0.0,1980.0
2006/01/28,0.0,206.0,89.0,0.0,1790.0
2006/01/29,0.0,250.0,88.0,0.0,1880.0
2006/01/30,0.0,230.0,90.0,0.0,1960.0
2006/01/31,0.0,268.0,90.0,0.0,1960.0
2006/02/01,0.0,263.0,113.0,0.0,2480.0
2006/02/02,0.0,265.0,118.0,2505.0,2670.0
2006/02/03,120.74024604199975,306.0,104.0,2660.0,3460.0
2006/02/04,128.43389725961453,292.0,90.0,2190.0,3560.0
2006/02/05,105.62194428753656,340.0,97.0,2045.0,3930.0
2006/02/06,98.18885284106561,419.0,113.0,1235.0,3820.0
2006/02/07,58.84094088844751,595.0,140.0,660.0,4040.0
2006/02/08,31.2069381405406,537.0,258.0,0.0,4640.0
2006/02/09,0.0,460.0,204.0,0.0,5560.0
2006/02/10,0.0,325.0,145.0,400.0,4190.0
2006/02/11,18.266962035069128,338.0,125.0,1790.0,4350.0
2006/02/12,81.52844778863374,296.0,149.0,1920.0,3890.0
2006/02/13,87.41766244312122,324.0,150.0,1920.0,3650.0
2006/02/14,87.4415435892789,539.0,180.0,803.0,4290.0
2006/02/15,36.40189436467741,440.0,371.0,0.0,6250.0
2006/02/16,0.0,595.0,312.0,0.0,6160.0
2006/02/17,0.0,552.0,580.0,0.0,8830.0
2006/02/18,0.0,500.0,340.0,0.0,7000.0
2006/02/19,0.0,609.0,350.0,0.0,6380.0
2006/02/20,0.0,618.0,562.0,0.0,9570.0
2006/02/21,0.0,520.0,427.0,0.0,7070.0
2006/02/22,0.0,420.0,300.0,0.0,6010.0
2006/02/23,0.0,430.0,224.0,0.0,5860.0
2006/02/24,0.0,390.0,227.0,0.0,4600.0
2006/02/25,0.0,374.0,215.0,100.0,5920.0
2006/02/26,4.270331085131053,364.0,203.0,0.0,3580.0
2006/02/27,0.0,285.0,166.0,320.0,2760.0
2006/02/28,13.606399981175372,330.0,180.0,0.0,3210.0
2006/03/01,0.0,316.0,173.0,0.0,3500.0
2006/03/02,0.0,314.0,171.0,0.0,3360.0
2006/03/03,0.0,270.0,159.0,0.0,3470.0
2006/03/04,0.0,294.0,170.0,0.0,3740.0
2006/03/05,0.0,311.0,161.0,0.0,3900.0
2006/03/06,0.0,294.0,152.0,0.0,3810.0
2006/03/07,0.0,277.0,149.0,0.0,4000.0
2006/03/08,0.0,210.0,127.0,0.0,3590.0
2006/03/09,0.0,229.0,124.0,0.0,3560.0
2006/03/10,0.0,206.0,122.0,0.0,3620.0
2006/03/11,0.0,206.0,131.0,0.0,4150.0
2006/03/12,0.0,206.0,107.0,0.0,3720.0
2006/03/13,0.0,220.0,102.0,0.0,4470.0
2006/03/14,0.0,203.0,119.0,0.0,4480.0
2006/03/15,0.0,243.0,116.0,0.0,3690.0
2006/03/16,0.0,401.0,150.0,1500.0,2670.0
2006/03/17,58.91137583169365,333.0,160.0,2701.0,3740.0
2006/03/18,106.21862393235175,359.0,134.0,5230.0,3040.0
2006/03/19,207.51627378100926,355.0,126.0,6135.0,7110.0
2006/03/20,243.81829075713156,259.0,115.0,5190.0,7290.0
2006/03/21,205.6601600813247,215.0,102.0,4367.0,4320.0
2006/03/22,173.0,187.0,92.0,3545.0,5690.0
2006/03/23,140.81022830168934,255.0,79.0,5540.0,6520.0
2006/03/24,220.17169206104467,244.0,101.0,5590.0,6430.0
2006/03/25,222.51783425729695,264.0,121.0,5553.0,6210.0
2006/03/26,221.4022805638083,326.0,101.0,5524.0,6510.0
2006/03/27,220.1782810801127,316.0,80.0,5156.0,6230.0
2006/03/28,205.57359239816236,350.0,116.0,4750.0,6080.0
2006/03/29,188.74633960715917,369.0,105.0,5840.0,6950.0
2006/03/30,199.5356310134528,350.0,102.0,6930.0,5960.0
2006/03/31,277.32654791937625,323.0,89.0,6710.0,6730.0
2006/04/01,268.3366175613301,317.0,92.0,4855.0,6550.0
2006/04/02,193.73634596256005,271.32958078707475,92.0,4690.0,7100.0
2006/04/03,186.63464785580578,236.0518590024981,98.36963179635805,6120.0,6460.0
2006/04/04,243.8026510734271,261.8866975411305,87.0,5450.0,6360.0
2006/04/05,217.1118379657153,193.8760528634818,97.51094389510445,5452.0,6050.0
2006/04/06,217.4589480939356,208.92633034142625,81.01424892166233,7792.0,7900.0
2006/04/07,311.7023267872337,190.0,104.25031741339825,8360.0,8500.0
2006/04/08,274.6908322270809,175.0,84.40980860013678,8935.0,9140.0
2006/04/09,357.06824382025485,161.22430106939203,82.0,8230.0,9520.0
2006/04/10,399.96613186992596,182.8561139759245,85.18609318394567,7525.0,8280.0
2006/04/11,328.0,186.03000448606775,78.67248052844008,6395.0,7350.0
2006/04/12,256.4294869743793,185.5658702436751,75.0,6875.0,7050.0
2006/04/13,276.20803161071564,159.0,70.29564804447108,7054.0,7430.0
2006/04/14,283.70534827192216,165.69097226446436,82.0,7350.0,7940.0
2006/04/15,295.92934666275556,141.0,71.03639872291973,7147.0,7900.0
2006/04/16,288.0668479006061,142.0,72.0,5965.0,7850.0
2006/04/17,239.40828571080607,113.83948203221101,67.0,5420.0,7980.0
2006/04/18,216.56542844486302,139.84938048367488,60.170731495451065,3460.0,6290.0
2006/04/19,137.55025175287378,115.18742148610772,44.0,3100.0,5310.0
2006/04/20,122.4546699465011,123.70516870136068,56.83639348093331,4770.0,6070.0
2006/04/21,187.81448963385566,121.83002826801608,52.498492947926394,5810.0,6330.0
2006/04/22,229.48610411266415,117.58024923262559,59.98643976541814,6155.0,5930.0
2006/04/23,242.90750314385173,105.8364988886197,48.17998527747102,6440.0,6480.0
2006/04/24,253.88152908679368,113.53414055914337,52.277353228770494,6130.0,6140.0
2006/04/25,242.94617727669973,120.0,55.65135716011673,7285.0,5540.0
2006/04/26,288.85474228651844,116.8941097497563,40.0,5478.0,4940.0
2006/04/27,217.7746471393764,75.13684485708714,39.913718132251034,6126.0,6610.0
2006/04/28,244.30458604234502,102.0,44.0,6825.0,4110.0
2006/04/29,273.44014859191503,101.8112652183813,43.0,5730.0,5590.0
2006/04/30,230.50858035736505,90.96382251851398,30.249307587187957,6815.0,6425.0
2006/05/01,274.4523785677897,106.26503800242946,32.865394160587016,6700.0,5340.0
2006/05/02,270.96858604123366,52.28464739424288,42.542819980871116,6820.0,4310.0
2006/05/03,277.4261650490207,102.0,40.53004333290653,6564.0,5040.0
2006/05/04,267.57180815436806,79.17337449404425,32.0,5710.0,6440.0
2006/05/05,233.3566351302387,27.547524554605047,20.531591665287806,6769.0,6200.0
2006/05/06,277.1955247913515,41.0,34.69732992341932,6210.0,5670.0
2006/05/07,255.03773795322164,90.38988995750864,27.0,6040.0,6050.0
2006/05/08,248.5014353904899,60.99669451494648,30.0,6350.0,5600.0
2006/05/09,262.25835823145474,142.50452108385971,30.0,5960.0,5780.0
2006/05/10,245.92005721765446,74.29943587278493,26.460935558262406,5040.0,4700.0
2006/05/11,208.62836627125827,68.01369868897191,33.30483664166107,5700.0,6080.0
2006/05/12,236.37530146527777,75.36921429885055,32.3137626911265,5700.0,5480.0
2006/05/13,236.5054198056668,61.2037862718403,32.047827095849044,5670.0,6030.0
2006/05/14,235.2976610801382,89.42980196156142,55.872175851176706,5475.0,4850.0
2006/05/15,228.26462441107714,95.0,24.27663329777161,5930.0,5620.0
2006/05/16,247.64552534518725,58.0,20.0,5975.0,5160.0
2006/05/17,250.15853957830848,69.0,35.0,4000.0,4830.0
2006/05/18,167.2179714491869,61.0,23.0,6000.0,6080.0
2006/05/19,251.32493294188052,25.0,24.0,5800.0,4870.0
2006/05/20,243.76076461988586,20.0,22.0,5900.0,5880.0
2006/05/21,248.87666767080853,20.0,31.0,5200.0,4670.0
2006/05/22,219.78910270277032,25.0,37.0,5160.0,5090.0
2006/05/23,218.51961688445792,35.0,26.45331086610753,5600.0,5380.0
2006/05/24,237.535559972468,34.0,23.765113071231298,3805.0,4340.0
2006/05/25,161.5011574046022,30.0,60.0,5907.0,5720.0
2006/05/26,251.36909417484898,40.0,22.0,5770.0,4820.0
2006/05/27,246.82024720996034,57.59550575833774,29.458559331940023,6300.0,6290.0
2006/05/28,269.9104696610213,100.62289489619121,28.81535347854441,5800.0,6670.0
2006/05/29,248.87594843298274,100.68986360188447,21.0,6600.0,6450.0
2006/05/30,283.6223849138256,60.0,19.0,5650.0,4350.0
2006/05/31,243.84101612166725,35.90679269509704,9.0,4155.0,5260.0
2006/06/01,179.02423779680544,50.851352054591416,20.0,6340.0,5150.0
2006/06/02,274.75747408258155,26.06005355535393,25.40288113553035,5290.0,5780.0
2006/06/03,229.9240784069501,39.892448395944825,5.747838592681717,276.05,6430.0
2006/06/04,266.18616942550585,18.62878148027903,19.192564009889566,275.53,6290.0
2006/06/05,284.52616529510976,15.798040016246944,12.393635762028794,274.97,6670.0
2006/06/06,279.07773695269935,13.028548242329066,12.939631474473117,274.42,6850.0
2006/06/07,267.2972049497756,54.33725932761973,14.99012047658971,273.88,6560.0
2006/06/08,256.2609278606942,46.0,20.75140475836207,273.43,5610.0
2006/06/09,250.2521481734355,19.06526536732332,17.434403978899525,272.92,5770.0
2006/06/10,273.2823252455449,12.003930594148585,12.46288324889548,272.4,6110.0
2006/06/11,240.47371680494354,12.003930594148585,10.141619697472265,271.87,5970.0
2006/06/12,236.2358017364583,12.003930594148585,25.0,271.33,5830.0
2006/06/13,238.3519775085619,19.94045011792923,6.0,270.71,6400.0
2006/06/14,252.1712088829301,22.15878791600744,5.0,270.13,6160.0
2006/06/15,250.022203208136,24.707365761382903,12.7238999498839,269.53,5670.0
2006/06/16,255.1415396485338,19.0,31.12534122022015,268.92,5850.0
2006/06/17,255.89683350079324,30.607280989492267,14.0,268.51,4550.0
2006/06/18,178.96374901522105,32.47180537096142,17.866487551091097,268.15,4680.0
2006/06/19,161.25844114701854,41.2603104222421,18.55417019636144,267.61,5630.0
2006/06/20,227.7321378722747,26.77730308240922,16.733582180703195,267.07,6370.0
2006/06/21,231.25717506831595,35.22318353797078,20.501246433647594,266.56,4740.0
